model_id,score_threshold,r_squared,rmse,errors,gt_values,count_accuracy_avg,count_accuracy_sd,ap_iou_50_95,ap_iou_50,ap_iou_75,ap_small,ap_medium,ap_large,ar_max_1,ar_max_10,ar_max_100,ar_small,ar_medium,ar_large
yolov5nu_dataset_1_exp_dataset_quality_6,0.4,0.9666913397483345,0.6708203932499369,"[0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 2, 0, -1, 0, 1, 0, 0, 0, -1, 0]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9703273809523809,0.048734798708507346,0.5243981480657658,0.9517806232104065,0.4935902053432318,0.5243981480657658,-1.0,-1.0,0.053418803418803416,0.4850427350427351,0.6337606837606837,0.6337606837606837,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_6,0.5,0.848260547742413,1.4317821063276353,"[0, 2, 0, 3, 1, 0, 1, -1, 0, 0, 2, 1, 0, 0, 2, 0, 4, 0, 0, 0]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9317216117216116,0.09248178155305008,0.49748587255470283,0.9036156350377694,0.46617155438207025,0.49748587255470283,-1.0,-1.0,0.053418803418803416,0.4794871794871794,0.5974358974358974,0.5974358974358974,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_6,0.6,-3.907709622960044,7.768715542254754,"[6, 6, 4, 12, 10, 4, 10, 3, 9, 12, 8, 6, 3, 11, 7, 4, 7]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 16, 13, 15, 7, 16, 16, 8, 14]",0.42210191769015304,0.14100073267879323,0.1987150256285018,0.3662215058715174,0.18592743282498422,0.1987150256285018,-1.0,-1.0,0.04829059829059829,0.23076923076923075,0.23076923076923075,0.23076923076923075,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_6,0.7,-12.69140625,11.840608092492547,"[8, 7, 14, 14, 14]","[9, 8, 15, 15, 15]",0.08722222222222223,0.02555555555555557,0.018613861386138613,0.0297029702970297,0.015841584158415842,0.018613861386138613,-1.0,-1.0,0.015811965811965815,0.015811965811965815,0.015811965811965815,0.015811965811965815,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_7,0.29,0.9518874907475944,0.806225774829855,"[0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 2, 0, 0, -1, 2, 0, -1, 0, 0, -1]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9577014652014653,0.06100097851432011,0.4378862594623285,0.9254584541256259,0.34551771052719027,0.4378862594623285,-1.0,-1.0,0.04487179487179487,0.41709401709401706,0.5461538461538462,0.5461538461538462,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_7,0.4,0.5928941524796447,2.345207879911715,"[2, 2, 2, 4, 2, 0, 4, 0, 2, 0, 3, 3, 3, 0, 4, 1, 3, 1, 0, 2]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.8401572039072042,0.11082142988474536,0.36991127443226096,0.7842958922147532,0.27592461933718665,0.36991127443226096,-1.0,-1.0,0.04487179487179487,0.3948717948717949,0.45555555555555555,0.45555555555555555,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_7,0.5,-5.106054530874099,9.185228415920399,"[7, 5, 14, 10, 7, 9, 4, 8, 4, 14, 11, 7, 3, 14, 13, 12, 7, 7, 5]","[8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.2904159437054174,0.168020925002208,0.1300971557582684,0.27722772277227725,0.0858858962819359,0.1300971557582684,-1.0,-1.0,0.04401709401709402,0.1517094017094017,0.1517094017094017,0.1517094017094017,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_7,0.6,,6.0,"[6, 6]","[7, 7]",0.1428571428571428,0.0,0.006435643564356435,0.009900990099009901,0.0049504950495049506,0.006435643564356435,-1.0,-1.0,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.005555555555555556,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_8,0.29,0.9592894152479645,0.7416198487095663,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, -1, 1, 0, 1, 0, -1, 0, 0, -1]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9569803113553114,0.05804750040171525,0.5699486280125448,0.9407140996818356,0.6165526931581795,0.5699486280125448,-1.0,-1.0,0.05726495726495727,0.5132478632478633,0.6683760683760684,0.6683760683760684,-1.0,-1.0
yolov5nu_dataset_1_exp_dataset_quality_8,0.4,0.8852701702442635,1.2449899597988732,"[0, 0, 2, 0, 1, 0, 3, 1, 0, 0, 3, 0, 2, 0, 1, 0, -1, 0, 0, -1]","[9, 8, 7, 15, 15, 13, 14, 7, 15, 7, 16, 13, 15, 7, 16, 16, 13, 8, 14, 6]",0.9331776556776556,0.08764540188227338,0.5586164644548489,0.9214750076310376,0.6087545682129416,0.5586164644548489,-1.0,-1.0,0.05726495726495727,0.5132478632478633,0.6529914529914531,0.6529914529914531,-1.0,-1.0
