model_id,score_threshold,r_squared,rmse,mape,errors,gt_values,count_accuracy_avg,count_accuracy_sd,ap_iou_50_95,ap_iou_50,ap_iou_75,ap_small,ap_medium,ap_large,ar_max_1,ar_max_10,ar_max_100,ar_small,ar_medium,ar_large
yolov5lu_dataset_3_exp_dataset_size_5,0.5,-2.41998844598498,3.847076812334269,19.778554778554774,"[1, 7, -1, 0, 6, 2, -3, 0, 10, -3, 0, 0, -1, 1, 7, 4, 0, 0, 4, 2]","[13, 14, 11, 10, 12, 14, 14, 12, 15, 9, 8, 14, 15, 11, 14, 11, 10, 11, 15, 14]",0.8022144522144522,0.20495619496296083,0.10612127532830493,0.38210642511221743,0.011224709427464485,0.10612127532830493,-1.0,-1.0,0.022267206477732792,0.16234817813765182,0.17611336032388664,0.17611336032388664,-1.0,-1.0
yolov5lu_dataset_3_exp_dataset_size_5,0.6,-2.523974581166956,3.905124837953327,20.014485514485518,"[1, 7, 0, 0, 6, 3, -1, 0, 10, -3, 0, 2, -1, 1, 7, 4, 0, 0, 5, 2]","[13, 14, 11, 10, 12, 14, 14, 12, 15, 9, 8, 14, 15, 11, 14, 11, 10, 11, 15, 14]",0.7998551448551449,0.20714748520291,0.10552150381269183,0.3761087099560864,0.011224709427464485,0.10552150381269183,-1.0,-1.0,0.022267206477732792,0.16234817813765182,0.1757085020242915,0.1757085020242915,-1.0,-1.0
yolov5lu_dataset_3_exp_dataset_size_5,0.7,-3.055459272097054,4.189272013130682,22.546287046287045,"[2, 7, 1, 1, 6, 4, -1, 0, 10, -3, 0, 2, 0, 2, 9, 4, 0, 0, 5, 2]","[13, 14, 11, 10, 12, 14, 14, 12, 15, 9, 8, 14, 15, 11, 14, 11, 10, 11, 15, 14]",0.7745371295371295,0.2119003577287749,0.1039719683611203,0.3699818596472932,0.011224709427464485,0.1039719683611203,-1.0,-1.0,0.022267206477732792,0.16032388663967612,0.17125506072874497,0.17125506072874497,-1.0,-1.0
yolov5lu_dataset_3_exp_dataset_size_5,0.8,-3.6793760831889086,4.5,23.55638805638805,"[2, 7, 1, 1, 6, 4, -1, 0, 12, -1, 0, 2, 3, 2, 9, 5, 0, 0, 5, 2]","[13, 14, 11, 10, 12, 14, 14, 12, 15, 9, 8, 14, 15, 11, 14, 11, 10, 11, 15, 14]",0.7644361194361194,0.22539618491431485,0.1021175767757144,0.3637681672001901,0.011224709427464485,0.1021175767757144,-1.0,-1.0,0.022267206477732792,0.15870445344129552,0.1668016194331984,0.1668016194331984,-1.0,-1.0
yolov5lu_dataset_3_exp_dataset_size_5,0.9,-4.4881571346042755,4.873397172404482,28.761474636474638,"[2, 7, 2, 3, 6, 4, 0, 0, 12, 1, 1, 4, 4, 3, 10, 5, 0, 2, 5, 4]","[13, 14, 11, 10, 12, 14, 14, 12, 15, 9, 8, 14, 15, 11, 14, 11, 10, 11, 15, 14]",0.7123852536352536,0.21349779537404248,0.09909006733148557,0.34452164973846594,0.011224709427464485,0.09909006733148557,-1.0,-1.0,0.022267206477732792,0.15668016194331982,0.16234817813765184,0.16234817813765184,-1.0,-1.0
yolov5lu_dataset_3_exp_dataset_size_5,0.95,-6.059503177354131,5.527205442174192,34.07682595182596,"[3, 7, 2, 4, 7, 8, 1, 1, 13, 1, 1, 4, 5, 4, 10, 5, 0, 2, 6, 5]","[13, 14, 11, 10, 12, 14, 14, 12, 15, 9, 8, 14, 15, 11, 14, 11, 10, 11, 15, 14]",0.6592317404817404,0.22295610703384547,0.09507278219701452,0.3245974350947794,0.011224709427464485,0.09507278219701452,-1.0,-1.0,0.022267206477732792,0.15384615384615385,0.15506072874493929,0.15506072874493929,-1.0,-1.0
yolov5lu_dataset_3_exp_dataset_size_6,0.29,-1.8422876949740035,3.5071355833500366,21.368714618714613,"[-7, -4, 0, -6, -2, -4, 0, -1, -4, -3, 0, 1, -1, 7, -6, 3, -1, 0, 1, 1]","[13, 14, 11, 10, 12, 14, 14, 12, 15, 9, 8, 14, 15, 11, 14, 11, 10, 11, 15, 14]",0.7863128538128539,0.20112333690320827,0.20540805330705914,0.6463682188792689,0.053413283485845536,0.20540805330705914,-1.0,-1.0,0.03724696356275304,0.2481781376518218,0.27408906882591094,0.27408906882591094,-1.0,-1.0
yolov5lu_dataset_3_exp_dataset_size_6,0.4,-1.2530329289428077,3.122498999199199,17.293317793317794,"[-7, -1, 0, -4, -1, -4, 0, -1, -4, -1, 0, 3, 0, 7, -5, 3, 0, 0, 1, 1]","[13, 14, 11, 10, 12, 14, 14, 12, 15, 9, 8, 14, 15, 11, 14, 11, 10, 11, 15, 14]",0.827066822066822,0.1868499714586518,0.20482829951418938,0.6463682188792689,0.053413283485845536,0.20482829951418938,-1.0,-1.0,0.03724696356275304,0.2481781376518218,0.2732793522267206,0.2732793522267206,-1.0,-1.0
yolov5lu_dataset_3_exp_dataset_size_6,0.5,-0.8486424032351243,2.8284271247461903,15.710955710955712,"[-5, -1, 1, -2, 0, -4, 1, 0, -4, 0, 0, 3, 2, 7, -4, 4, 0, 0, 1, 1]","[13, 14, 11, 10, 12, 14, 14, 12, 15, 9, 8, 14, 15, 11, 14, 11, 10, 11, 15, 14]",0.8428904428904428,0.16696382992820072,0.2036661755797882,0.6397548162262623,0.053413283485845536,0.2036661755797882,-1.0,-1.0,0.03724696356275304,0.24696356275303644,0.2720647773279352,0.2720647773279352,-1.0,-1.0
yolov5lu_dataset_3_exp_dataset_size_6,0.6,-0.5251299826689775,2.569046515733026,14.385864135864137,"[-4, -1, 1, -2, 1, -4, 1, 0, -1, 0, 0, 4, 2, 7, -2, 4, 0, 0, 1, 1]","[13, 14, 11, 10, 12, 14, 14, 12, 15, 9, 8, 14, 15, 11, 14, 11, 10, 11, 15, 14]",0.8561413586413587,0.15792619015608605,0.2036661755797882,0.6397548162262623,0.053413283485845536,0.2036661755797882,-1.0,-1.0,0.03724696356275304,0.24696356275303644,0.2716599190283401,0.2716599190283401,-1.0,-1.0
yolov5lu_dataset_3_exp_dataset_size_6,0.7,-0.7677642980935875,2.7658633371878665,16.067085692085694,"[-3, -1, 1, 0, 1, -4, 1, 2, 0, 1, 1, 4, 2, 8, 0, 5, 1, 0, 2, 2]","[13, 14, 11, 10, 12, 14, 14, 12, 15, 9, 8, 14, 15, 11, 14, 11, 10, 11, 15, 14]",0.8393291430791431,0.17071608203377717,0.20173817192160282,0.6325807937392679,0.053413283485845536,0.20173817192160282,-1.0,-1.0,0.03724696356275304,0.24655870445344127,0.26882591093117403,0.26882591093117403,-1.0,-1.0
